country,average_rating,player_count
Afghanistan,2021,3
Albania,2337,55
Algeria,2229,158
Andorra,2292,62
Angola,2163,88
Argentina,2290,1183
Armenia,2388,685
Aruba,2390,11
Australia,2262,486
Austria,2270,1605
Azerbaijan,2357,703
Bangladesh,2195,222
Barbados,2265,33
Belarus,2355,200
Belgium,2284,751
Bolivia,2259,83
Bosnia-Herzegovina,2297,478
Botswana,2133,16
Brazil,2264,720
Brunei,2160,15
Bulgaria,2325,553
Burundi,2337,11
Cameroon,2015,1
Canada,2285,597
Cape Verde,2478,11
Chile,2262,387
China,2426,1015
Colombia,2243,840
Costa Rica,2257,131
Croatia,2282,1637
Cuba,2306,1264
Cyprus,2199,25
Czech Republic,2287,2387
Denmark,2301,916
Dominican Republic,2155,151
Ecuador,2215,139
Egypt,2274,325
El Salvador,2158,69
England,2321,1215
Estonia,2340,152
Ethiopia,2114,13
Faroe Islands,2333,57
Finland,2264,576
France,2313,3456
Georgia,2377,514
Germany,2295,7814
Ghana,1937,1
Greece,2317,928
Guatemala,2183,61
Guernsey,1985,1
Guyana,2005,1
Haiti,2010,1
Honduras,2138,59
Hong Kong,2083,20
Hungary,2295,2859
Iceland,2328,398
India,2350,2648
Indonesia,2282,357
Iran,2330,529
Iraq,2162,158
Ireland,2248,218
Isle of Man,2270,2
Israel,2353,1580
Italy,2271,1419
Ivory Coast,2039,2
Jamaica,2169,47
Japan,2242,96
Jersey,2074,11
Jordan,2232,77
Kazakhstan,2313,585
Kenya,2012,3
Kosovo,2220,104
Kyrgyzstan,2280,67
Latvia,2315,277
Lebanon,2213,41
Liberia,1944,1
Libya,1926,1
Liechtenstein,2076,13
Lithuania,2316,366
Luxembourg,2252,58
Macao,1988,1
Madagascar,2289,35
Malawi,2103,25
Malaysia,2242,153
Maldives,2045,1
Mali,2163,2
Malta,2147,54
Mexico,2216,705
Moldova,2336,238
Monaco,2248,82
Mongolia,2347,254
Montenegro,2294,426
Morocco,2287,133
Mozambique,2012,2
Myanmar,2228,53
Namibia,2159,3
Nepal,2152,26
Netherlands,2308,2574
New Zealand,2223,154
Nicaragua,2160,81
Nigeria,2178,177
North Macedonia,2344,243
Norway,2302,1088
Oman,2076,12
Pakistan,2153,40
Palestine,2168,13
Panama,2199,95
Papua New Guinea,1933,1
Paraguay,2290,161
Peru,2334,375
Philippines,2269,560
Poland,2316,2310
Portugal,2308,274
Puerto Rico,2129,90
Qatar,2249,21
Romania,2309,1292
Russia,2313,4195
Saint Lucia,2179,9
Scotland,2273,217
Serbia,2258,3199
Seychelles,2146,1
Singapore,2261,187
Slovakia,2274,833
Slovenia,2310,829
South Africa,2228,122
South Korea,2294,37
Spain,2294,4774
Sri Lanka,2260,59
Sudan,2167,51
Suriname,1996,4
Sweden,2317,1294
Switzerland,2289,894
Syria,2224,44
Tajikistan,2291,83
Thailand,2200,46
Togo,1998,1
Trinidad/Tobago,2199,61
Tunisia,2202,186
Turkmenistan,2300,134
Türkiye,2296,1205
Uganda,2209,59
Ukraine,2361,1881
United Arab Emirates,2255,103
United States,2354,2674
Uruguay,2254,172
Uzbekistan,2363,382
Venezuela,2246,346
Vietnam,2323,312
Wales,2222,111
Yemen,2271,31
Zambia,2222,100
Zimbabwe,2253,62
